metric_time,backlog_00_10_3_reload,t1_00_10_3_reload,t2_00_10_3_reload,s3uploadcpu,s3uploaddisk,s3uploadmemory,outage
7/15/18 20:00,2806,,,0,18.1078483,17.5655565,0
7/15/18 20:05,2700,,,0,18.10813639,17.56443909,0
7/15/18 20:10,2592,,,1,18.10842448,17.56611521,0
7/15/18 20:15,2485,,,0,18.10870479,17.56464226,0
7/15/18 20:20,2378,,,0,18.10899288,17.56591204,0
7/15/18 20:25,2270,,,0,18.10928097,17.56636916,0
7/15/18 20:30,2161,,,0,18.10981822,17.56489621,0
7/15/18 20:35,2054,,,1,18.11011409,17.56570888,0
7/15/18 20:40,1945,,,1,18.1103944,17.56738499,0
7/15/18 20:45,1838,,,0,18.11068249,17.56596283,0
7/15/18 20:50,1731,,,0,18.11096279,17.56565808,0
7/15/18 20:55,1622,,,0,18.11127424,17.56565808,0
7/15/18 21:00,1513,,,0,18.1118037,17.56845161,0
7/15/18 21:05,1405,,,0,18.11209958,17.56575967,0
7/15/18 21:10,1294,,,1,18.11237989,17.56581046,0
7/15/18 21:15,1187,,,0,18.11266019,17.5667247,0
7/15/18 21:20,1078,,,0,18.11296385,17.56718183,0
7/15/18 21:25,970,,,0,18.11325973,17.56763895,0
7/15/18 21:30,860,,,0,18.11399942,17.56560729,0
7/15/18 21:35,750,,,0,18.1142953,17.56921348,0
7/15/18 21:40,641,,,1,18.1145756,17.56845161,0
7/15/18 21:45,533,,,0,18.11486369,17.56702945,0
7/15/18 21:50,425,,,0,18.115144,17.5667247,0
7/15/18 21:55,315,,,0,18.11580583,17.56799449,0
7/15/18 22:00,206,,,1,18.1171217,17.56880715,0
7/15/18 22:05,98,,,0,18.117402,17.57012773,0
7/15/18 22:10,1,,,1,18.11759666,17.56819766,0
7/15/18 22:15,1,,,0,18.11779131,17.56961982,0
7/15/18 22:20,1,,,4,18.11796261,17.57099118,0
7/15/18 22:25,1,,,0,18.11812612,17.57256572,0
7/15/18 22:30,1,,,0,18.11856215,17.57287047,0
7/15/18 22:35,1,,,0,18.11931742,17.56951823,0
7/15/18 22:40,1,,,0,18.11948871,17.57358155,0
7/15/18 22:45,1,,,0,18.11967558,17.57302284,0
7/15/18 22:50,1,,,0,18.11985467,17.57144831,0
7/15/18 22:55,1,,,0,18.12002596,17.57302284,0
7/15/18 23:00,1,,,0,18.12071894,17.57535925,0
7/15/18 23:05,1,,,0,18.12111603,17.57408946,0
7/15/18 23:10,1,,,0,18.12201145,17.57292126,0
7/15/18 23:15,1,,,0,18.12218275,17.42552452,0
7/15/18 23:20,1,,,0,18.12236962,17.42709906,0
7/15/18 23:25,1,,,0,18.12254091,17.4238992,0
7/15/18 23:30,1,,,0,18.12297694,17.42318812,0
7/15/18 23:35,1,,,0,18.12314824,17.26929008,0
7/15/18 23:40,1,,,0,18.12331954,17.2726931,0
7/15/18 23:45,1,,,0,18.1244719,17.27355656,0
7/15/18 23:50,1,,,0,18.12479113,17.14607006,0
7/15/18 23:55,1,,,0,18.12535174,17.14429236,0
7/24/18 0:05,4,,,1,21.46437473,19.06827181,0
7/24/18 0:10,4,,,0,21.46562053,19.06502116,0
7/24/18 0:15,4,,,0,21.46713884,19.06634174,0
7/24/18 0:20,4,,,0,21.46831456,19.06293871,0
7/24/18 0:25,4,,,0,21.46982509,19.05735165,0
7/24/18 0:30,4,,,0,21.47124219,19.05775798,0
7/24/18 0:35,4,,,0,21.47238676,19.0606531,0
7/24/18 0:40,4,,,0,21.47353134,19.05212014,0
7/24/18 0:45,4,,,0,21.47465256,19.04785366,0
7/24/18 0:50,4,,,0,21.47669255,19.04866632,0
7/24/18 0:55,4,,,0,21.47780598,19.05100272,0
7/24/18 1:00,4,,,0,21.48020414,19.05201855,0
7/24/18 1:05,4,,,0,21.481411,19.05298359,0
7/24/18 1:10,4,,,0,21.48258672,19.04958056,0
7/24/18 1:15,4,,,0,21.48377802,19.04516171,0
7/24/18 1:20,4,,,0,21.48627739,19.04683783,0
7/24/18 1:25,4,,,0,21.48795143,19.04313005,0
7/24/18 1:30,4,,,0,21.48937631,19.04145394,0
7/24/18 1:35,4,,,0,21.49103478,19.03708587,0
7/24/18 1:40,4,,,0,21.49219493,19.03261623,0
7/24/18 1:45,4,,,0,21.49438286,19.03566371,0
7/24/18 1:50,4,,,0,21.4963372,19.03129565,0
7/24/18 1:55,4,,,0,21.49746621,19.03754299,0
7/24/18 2:00,4,,,0,21.49967749,19.03754299,0
7/24/18 2:05,4,,,0,21.50195886,19.04013336,0
7/24/18 2:10,4,,,0,21.50417793,19.0393207,0
7/24/18 2:15,4,,,0,21.50562617,19.0357145,0
7/24/18 2:20,4,,,0,21.50944921,19.03429234,0
7/24/18 2:25,4,,,1,21.51261821,19.03662875,0
7/24/18 2:30,4,,,0,21.51528888,19.03876199,0
7/24/18 2:35,4,,,0,21.51726659,19.03561292,0
7/24/18 2:40,4,,,0,21.52011634,19.04089523,0
7/24/18 2:45,4,,,0,21.52299725,19.03622242,0
7/24/18 2:50,4,,,0,21.52432091,19.03723825,0
7/24/18 2:55,4,,,0,21.52591709,19.03881278,0
7/24/18 3:00,4,,,0,21.52869677,19.03921911,0
7/24/18 3:05,4,,,0,21.53124287,19.0398794,0
7/24/18 3:10,4,,,0,21.53569659,19.05384704,0
7/24/18 3:15,4,,,1,21.53971428,19.05516762,0
7/24/18 3:20,4,,,0,21.54219809,19.07065901,0
7/24/18 3:25,4,,,0,21.5464338,19.06918606,0
7/24/18 3:30,4,,,0,21.54981302,19.08599802,0
7/24/18 3:35,4,,,0,21.55196202,19.0825442,0
7/24/18 3:40,4,,,0,21.55348812,19.08868997,0
7/24/18 3:45,4,,,0,21.55503758,19.09011213,0
7/24/18 3:50,4,,,0,21.55627559,19.08955342,0
7/24/18 3:55,4,,,0,21.55741238,19.08985817,0
7/24/18 4:00,4,,,0,21.56145343,19.09036608,0
7/24/18 4:05,4,,,0,21.56396839,19.09331199,0
7/24/18 4:10,4,,,0,21.56510517,19.09163587,0
7/24/18 4:15,4,,,0,21.56874913,19.09031529,0
7/24/18 4:20,4,,,0,21.57110836,19.08838522,0
7/24/18 4:25,4,,,0,21.57299262,19.08706464,0
7/24/18 4:30,4,,,0,21.57637185,19.0837632,0
7/24/18 4:35,4,,,0,21.57904252,19.0873186,0
7/24/18 4:40,4,,,0,21.58020267,19.08396636,0
7/24/18 4:45,4,,,0,21.58221931,19.11972353,0
7/24/18 4:50,4,,,0,21.5833561,19.12150123,0
7/24/18 4:55,4,,,0,21.58547395,19.12272023,0
7/24/18 5:00,4,,,1,21.59045714,19.12129807,0
7/24/18 5:05,4,,,0,21.59336919,19.12378685,0
7/24/18 5:10,4,,,0,21.59655375,19.12327893,0
7/24/18 5:15,4,,,0,21.5989597,19.12312656,0
7/24/18 5:20,4,,,0,21.60197297,19.12439634,0
7/24/18 5:25,4,,,0,21.60476044,19.12216152,0
7/24/18 5:30,4,,,0,21.60731432,19.12434555,0
7/24/18 5:35,4,,,0,21.6098682,19.12338052,0
7/24/18 5:40,4,,,1,21.61478131,19.11941878,0
7/24/18 5:45,4,,,1,21.61947641,19.12419318,0
7/24/18 5:50,4,,,1,21.62635165,19.12520901,0
7/24/18 5:55,76,,,0,21.63133484,19.15796948,0
7/24/18 6:00,4,,,1,21.63753267,19.15593782,0
7/24/18 6:05,4,,,0,21.6439641,19.15802027,0
7/24/18 6:10,4,,,1,21.6519917,19.1625915,0
7/24/18 6:15,4,,,1,21.65667901,19.16584215,0
7/24/18 6:20,4,,,0,21.65875015,19.16609611,0
7/24/18 6:25,4,,,0,21.66114052,19.16523266,0
7/24/18 6:30,4,,,1,21.66821042,19.18524448,0
7/24/18 6:35,4,,,1,21.67265635,19.21836049,0
7/24/18 6:40,4,,,1,21.67795877,19.22293172,0
7/24/18 6:45,4,,,0,21.68192975,19.21978265,0
7/24/18 6:50,4,,,0,21.68562821,19.21968107,0
7/24/18 6:55,4,,,0,21.68871156,19.22181431,0
7/24/18 7:00,4,,,1,21.69170925,19.2236428,0
7/24/18 7:05,4,,,0,21.69472253,19.22191589,0
7/24/18 7:10,4,,,5,21.69630313,19.22105244,0
7/24/18 7:15,4,,,0,21.69862343,19.23100756,0
7/24/18 7:20,4,,,1,21.7018625,19.23263289,0
7/24/18 7:25,4,,,0,21.70403485,19.22994094,0
7/24/18 7:30,4,,,1,21.70743744,19.23034727,0
7/24/18 7:35,4,,,0,21.7088701,19.22740137,0
7/24/18 7:40,4,,,0,21.71132277,19.23695016,0
7/24/18 7:45,4,,,0,21.71364306,19.24040397,0
7/24/18 7:50,4,,,0,21.7161658,19.23755965,0
